zip,state,Region,zip_first_two_digits,zip_first_three_digits
02539,MA,Northeast,02,025
02540,MA,Northeast,02,025
02541,MA,Northeast,02,025
02542,MA,Northeast,02,025
02543,MA,Northeast,02,025
02552,MA,Northeast,02,025
02553,MA,Northeast,02,025
02554,MA,Northeast,02,025
02556,MA,Northeast,02,025
02557,MA,Northeast,02,025
02558,MA,Northeast,02,025
02559,MA,Northeast,02,025
02561,MA,Northeast,02,025
02562,MA,Northeast,02,025
02563,MA,Northeast,02,025
02564,MA,Northeast,02,025
02565,MA,Northeast,02,025
02568,MA,Northeast,02,025
02571,MA,Northeast,02,025
02573,MA,Northeast,02,025
02574,MA,Northeast,02,025
02575,MA,Northeast,02,025
02576,MA,Northeast,02,025
02584,MA,Northeast,02,025
02601,MA,Northeast,02,026
02630,MA,Northeast,02,026
02631,MA,Northeast,02,026
02632,MA,Northeast,02,026
02633,MA,Northeast,02,026
02634,MA,Northeast,02,026
02635,MA,Northeast,02,026
02636,MA,Northeast,02,026
02637,MA,Northeast,02,026
02638,MA,Northeast,02,026
02639,MA,Northeast,02,026
02641,MA,Northeast,02,026
02642,MA,Northeast,02,026
02643,MA,Northeast,02,026
02644,MA,Northeast,02,026
02645,MA,Northeast,02,026
02646,MA,Northeast,02,026
02647,MA,Northeast,02,026
02648,MA,Northeast,02,026
02649,MA,Northeast,02,026
02650,MA,Northeast,02,026
02651,MA,Northeast,02,026
02652,MA,Northeast,02,026
02653,MA,Northeast,02,026
02655,MA,Northeast,02,026
02657,MA,Northeast,02,026
02659,MA,Northeast,02,026
02660,MA,Northeast,02,026
02661,MA,Northeast,02,026
02662,MA,Northeast,02,026
02663,MA,Northeast,02,026
02664,MA,Northeast,02,026
02666,MA,Northeast,02,026
02667,MA,Northeast,02,026
02668,MA,Northeast,02,026
02669,MA,Northeast,02,026
02670,MA,Northeast,02,026
02671,MA,Northeast,02,026
02672,MA,Northeast,02,026
02673,MA,Northeast,02,026
02675,MA,Northeast,02,026
02702,MA,Northeast,02,027
02703,MA,Northeast,02,027
02712,MA,Northeast,02,027
02713,MA,Northeast,02,027
02714,MA,Northeast,02,027
02715,MA,Northeast,02,027
02717,MA,Northeast,02,027
02718,MA,Northeast,02,027
02719,MA,Northeast,02,027
02720,MA,Northeast,02,027
02721,MA,Northeast,02,027
02722,MA,Northeast,02,027
02723,MA,Northeast,02,027
02724,MA,Northeast,02,027
02725,MA,Northeast,02,027
02726,MA,Northeast,02,027
02738,MA,Northeast,02,027
02739,MA,Northeast,02,027
02740,MA,Northeast,02,027
02741,MA,Northeast,02,027
02742,MA,Northeast,02,027
02743,MA,Northeast,02,027
02744,MA,Northeast,02,027
02745,MA,Northeast,02,027
02746,MA,Northeast,02,027
02747,MA,Northeast,02,027
02748,MA,Northeast,02,027
02760,MA,Northeast,02,027
02761,MA,Northeast,02,027
