Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,7,17,1893.66,55.1954,0.51703,54,53,28,27,3.6246,68064917.82,4
H&M,7,18,2731.26,60.3079,0.077783,58,54,30,28,3.6028,58490928.6,5
H&M,7,19,3060.57,64.8892,0.1394,55,58,28,30,3.5956,54014649.01,5
H&M,7,20,2293.86,62.6913,0.15017,54,55,28,28,3.598,53551134.32,5
H&M,7,21,2272.56,66.8924,0.0012972,54,54,29,28,3.6131,61517631.73,5
H&M,7,22,1831.29,69.9097,0.13971,51,54,27,29,3.619,63331249.72,6
H&M,7,23,2021.96,69.4253,0.28609,52,51,27,27,3.6139,57372480.77,6
H&M,7,24,1495.24,73.6708,0.0095156,51,52,27,27,3.6274,56249930.11,6
H&M,7,25,2484.3,74.6346,0.051724,49,51,26,27,3.6376,58537999.83,6
H&M,7,26,2748.78,76.4918,0.28612,54,49,28,26,3.6243,60978421.45,7
H&M,7,27,2342.26,78.0714,0.027488,48,54,25,28,3.5889,55234038.75,7
H&M,7,28,1519.06,75.4573,0.28871,53,48,27,25,3.5468,49419270.48,7
H&M,7,29,918,75.3695,0.016486,54,53,27,27,3.5034,47079927.57,7
H&M,7,30,1826.85,73.3555,0.097332,58,54,30,27,3.4612,58994478.82,7
H&M,7,31,1516.64,74.812,0.0096634,58,58,30,30,3.4483,64061272.56,8
H&M,7,32,1310.02,72.3612,0.11122,61,58,32,30,3.4331,53130059.7,8
H&M,7,33,2351.59,72.3744,0.080312,60,61,32,32,3.4041,53607957.56,8
H&M,7,34,2391.8,72.4228,0.0031856,56,60,28,32,3.4016,59269432.69,8
H&M,7,35,2514.76,79.5074,0.070575,53,56,27,28,3.4086,55122979.26,9
H&M,7,36,855.73,69.3227,0.023604,53,53,28,27,3.3867,50113793.18,9
H&M,7,37,1425.6,62.0649,0.052619,61,53,33,28,3.332,50482052.06,9
H&M,7,38,676.59,64.4392,0.050164,60,61,31,33,3.2989,49056480.9,9
H&M,7,39,827.6,66.1585,0.096494,60,60,30,31,3.2833,65895762.01,10
H&M,7,40,1220.91,58.2496,0.067734,63,60,32,30,3.2106,50791777.24,10
H&M,7,41,1684.26,63.3916,0.15037,65,63,34,32,3.1195,47355591.03,10
H&M,7,42,1050.62,53.9721,0.19704,63,65,34,34,3.0507,49073930.89,10
H&M,7,43,1366.9,53.486,0.057356,59,63,31,34,2.9946,54946270.97,10
H&M,7,44,797.37,49.8596,0.047759,85,59,44,31,2.9385,54283147.72,11
H&M,7,45,694.74,45.5148,0.024072,72,85,37,44,2.8888,52345358.6,11
H&M,7,46,914.01,34.1141,0.17054,69,72,36,37,2.8292,59302549.18,11
H&M,7,47,685.8,43.2077,0.20204,100,69,52,36,2.7656,71155437.58,11
H&M,7,48,1164.5,42.6732,0.21144,82,100,44,52,2.7009,115816443,12
H&M,7,49,828.03,35.8588,0.21416,66,82,35,44,2.5858,95699514.06,12
H&M,7,50,1651.36,39.3374,0.024113,65,66,35,35,2.4426,110545404.8,12
H&M,7,51,1218.49,44.0435,0.14729,66,65,36,35,2.301,67497543.99,12
H&M,8,1,1109.76,29.1492,0.20062,46,53,24,27,3.2631,61492760.7,1
H&M,8,2,2100.4,38.6964,0.050791,48,46,25,24,3.2574,57539409.47,1
H&M,8,3,1521.53,22.1173,0.054005,49,48,25,25,3.2404,54173417.13,1
H&M,8,4,1647.19,24.5765,0.011582,48,49,25,25,3.2417,62557438.97,1
H&M,8,5,1187.98,31.5574,0.30504,52,48,27,25,3.248,57741423.48,2
H&M,8,6,2807.3,26.3316,0.20778,46,52,24,27,3.2816,58429948.63,2
H&M,8,7,2019.23,35.676,0.083533,52,46,27,24,3.3503,58527582.51,2
H&M,8,8,2356.57,28.8393,0.0067092,49,52,25,27,3.4036,68292043.94,2
H&M,8,9,2875.83,30.0816,0.030268,51,49,27,25,3.4321,67214297.82,3
H&M,8,10,3106.86,42.9056,0.040446,55,51,29,27,3.4652,55112365.96,3
H&M,8,11,3527.58,40.1888,0.097985,54,55,29,29,3.4883,55204513.98,3
H&M,8,12,2430.41,36.9043,0.27195,59,54,31,29,3.4991,56587827.29,3
H&M,8,13,2769.83,46.4209,0.10438,57,59,30,31,3.5253,66181801.73,4
H&M,8,14,2947.44,53.389,0.072564,56,57,29,30,3.5501,53044599.44,4
H&M,8,15,4137.1,51.727,0.12018,59,56,31,29,3.5921,55548326.56,4
H&M,8,16,3233.26,52.9158,0.062679,53,59,27,31,3.6202,52812187.85,4
H&M,8,17,2886.06,55.8202,0.57135,54,53,28,27,3.6246,68064917.82,4
H&M,8,18,3806.33,60.1735,0.043431,58,54,30,28,3.6028,58490928.6,5
H&M,8,19,3356.3,64.7602,0.13032,55,58,28,30,3.5956,54014649.01,5
H&M,8,20,4653.9801,62.1365,0.10302,54,55,28,28,3.598,53551134.32,5
H&M,8,21,3366.27,66.023,0.06074,54,54,29,28,3.6131,61517631.73,5
H&M,8,22,2949.16,68.6952,0.067538,51,54,27,29,3.619,63331249.72,6
H&M,8,23,3902.43,70.8967,0.22573,52,51,27,27,3.6139,57372480.77,6
H&M,8,24,3716.01,74.426,0.035408,51,52,27,27,3.6274,56249930.11,6
H&M,8,25,3181.57,73.9222,0.060051,49,51,26,27,3.6376,58537999.83,6
H&M,8,26,2747.41,76.6378,0.16216,54,49,28,26,3.6243,60978421.45,7
H&M,8,27,2907.04,77.8584,0.030727,48,54,25,28,3.5889,55234038.75,7
H&M,8,28,2829.1,75.7321,0.30642,53,48,27,25,3.5468,49419270.48,7
H&M,8,29,3027.21,74.2449,0.022092,54,53,27,27,3.5034,47079927.57,7
H&M,8,30,1466.45,72.9987,0.20639,58,54,30,27,3.4612,58994478.82,7
H&M,8,31,2507.32,73.6977,0.037679,58,58,30,30,3.4483,64061272.56,8
H&M,8,32,3545.63,71.9196,0.31108,61,58,32,30,3.4331,53130059.7,8
H&M,8,33,3416.88,72.2615,0.10829,60,61,32,32,3.4041,53607957.56,8
H&M,8,34,2633.32,71.6569,0,56,60,28,32,3.4016,59269432.69,8
H&M,8,35,3301.8,79.5077,0.098814,53,56,27,28,3.4086,55122979.26,9
H&M,8,36,2568.49,70.1786,0.046569,53,53,28,27,3.3867,50113793.18,9
H&M,8,37,2581.61,62.7742,0.025026,61,53,33,28,3.332,50482052.06,9
H&M,8,38,1679.83,64.3138,0.14158,60,61,31,33,3.2989,49056480.9,9
